S/N,Indoor Unit ID,Outdoor Unit ID,Room,Brand,Type,Cooling Capacity ,Refrigerant Type 
148,FCU-3-36,CU-3-36,Year 7A,SUMMIT,Wall-Mounted,2,R-32a
149,FCU-3-37,CU-3-37,Year 7A,SUMMIT,Wall-Mounted,2,R-32a
150,FCU-3-38,CU-3-38,Year 7B,SUMMIT,Wall-Mounted,2,R-32a
151,FCU-3-39,CU-3-39,Year 7B,SUMMIT,Wall-Mounted,2,R-32a
152,FCU-3-40,CU-3-40,Year 7B,SUMMIT,Wall-Mounted,2,R-32a
FOURTH FLOOR,,,,,,,
153,FCU-4-01,CU-4-01,Hall,DAIKIN,Ceiling Cassette,3,R-22a
154,FCU-4-02,CU-4-02,Hall,DAIKIN,Ceiling Cassette,3,R-22a
155,FCU-4-03,CU-4-03,Hall,DAIKIN,Ceiling Cassette,3,R-22a
156,FCU-4-04,CU-4-04,Hall,DAIKIN,Ceiling Cassette,3,R-22a
157,FCU-4-05,CU-4-05,Hall,DAIKIN,Ceiling Cassette,3,R-22a
158,FCU-4-06,CU-4-06,Hall,SHIMAZU,Ceiling Cassette,3,R-410a
159,FCU-4-07,CU-4-07,Hall,SHIMAZU,Ceiling Cassette,3,R-410a
160,FCU-4-08,CU-4-08,Hall,SHIMAZU,Ceiling Cassette,3,R-410a
161,FCU-4-09,CU-4-09,Hall,DAIKIN,Ceiling Cassette,3,R-22a
162,FCU-4-10,CU-4-10,Hall,DAIKIN,Ceiling Cassette,3,R-22a
163,FCU-4-11,CU-4-11,Hall,SHIMAZU,Ceiling Cassette,3,R-410a
164,FCU-4-12,CU-4-12,Hall,SHIMAZU,Ceiling Cassette,3,R-410a
165,FCU-4-13,CU-4-13,Year 11D,SUMMIT,Wall-Mounted,1.5,R-32a
166,FCU-4-14,CU-4-14,Year 11D,SUMMIT,Wall-Mounted,1.5,R-32a
167,FCU-4-15,CU-4-15,Year 11D,SUMMIT,Wall-Mounted,1.5,R-32a
168,FCU-4-16,CU-4-16,Year 11B,SUMMIT,Wall-Mounted,1.5,R-32a
169,FCU-4-17,CU-4-17,Year 11B,SUMMIT,Wall-Mounted,1.5,R-32a
170,FCU-4-18,CU-4-18,Year 11B,SUMMIT,Wall-Mounted,1.5,R-32a
171,FCU-4-19,CU-4-19,Year 11A,SUMMIT,Wall-Mounted,1.5,R-32a
172,FCU-4-20,CU-4-20,Year 11A,SUMMIT,Wall-Mounted,1.5,R-32a
173,FCU-4-21,CU-4-21,Year 11A,SUMMIT,Wall-Mounted,1.5,R-32a
174,FCU-4-22,CU-4-22,Year 10A,DAIKIN,Wall-Mounted,1.5,R-410a
175,FCU-4-23,CU-4-23,Year 10A,DAIKIN,Wall-Mounted,1.5,R-410a
176,FCU-4-24,CU-4-24,Year 10A,DAIKIN,Wall-Mounted,1.5,R-32a
177,FCU-4-25,CU-4-25,Year 10B,DAIKIN,Wall-Mounted,1.5,R-410a
178,FCU-4-26,CU-4-26,Year 10B,SUMMIT,Wall-Mounted,1.5,R-32a
179,FCU-4-27,CU-4-27,Year 10B,DAIKIN,Wall-Mounted,1.5,R-410a
180,FCU-4-28,CU-4-28,Extra,DAIKIN,Wall-Mounted,1.5,R-410a
181,FCU-4-29,CU-4-29,Extra,DAIKIN,Wall-Mounted,1.5,R-410a
182,FCU-4-30,CU-4-30,Year 11C,SUMMIT,Wall-Mounted,2,R-32a
183,FCU-4-31,CU-4-31,Year 11C,SUMMIT,Wall-Mounted,2,R-32a
184,FCU-4-32,CU-4-32,Year 11C,SUMMIT,Wall-Mounted,2,R-32a
185,FCU-4-33,CU-4-33,Year 11E,SUMMIT,Wall-Mounted,2,R-32a
186,FCU-4-34,CU-4-34,Year 11E,SUMMIT,Wall-Mounted,2,R-32a
187,FCU-4-35,CU-4-35,Year 11E,SUMMIT,Wall-Mounted,2,R-32a
PENTHOUSE,,,,,,,
188,FCU-5-01,​CU-5-01,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
189,FCU-5-02,CU-5-02,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
190,FCU-5-03,CU-5-03,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
191,FCU-5-04,CU-5-04,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
192,FCU-5-05,CU-5-05,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
193,FCU-5-06,CU-5-06,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
194,FCU-5-07,CU-5-07,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
195,FCU-5-08,CU-5-08,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
196,FCU-5-09,CU-5-09,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
197,FCU-5-10,CU-5-10,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
198,FCU-5-11,CU-5-11,STUDY AREA,SHIMAZU,Ceiling Cassette,3,R-410a
199,FCU-5-12,CU-5-12,PRIVATE STUDY AREA,DAIKIN,Ceiling Cassette,2,R-22a
200,FCU-5-13,CU-5-13,PRIVATE STUDY AREA,DAIKIN,Ceiling Cassette,2,R-22a
201,FCU-5-14,CU-5-14,PRIVATE STUDY AREA,DAIKIN,Ceiling Cassette,2,R-22a
202,FCU-5-15,CU-5-15,PRIVATE STUDY AREA,DAIKIN,Ceiling Cassette,2,R-22a
203,FCU-5-16,CU-5-16,PRIVATE STUDY AREA,DAIKIN,Ceiling Cassette,2,R-22a
